unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,DTP3,70,72,72,66,66,64,62,64,67,68,66,63,64,63,58,58,50,41,36,33,24,27,27,28,31,20,12,18,21,23,25,33,35,25,11,15,16,5,5,3,4
Eastern Europe & Central Asia,ALB,Albania,DTP3,,99,99,99,98,99,98,99,99,99,99,98,99,98,97,98,97,97,98,97,97,97,96,99,98,97,99,96,94,78,94,94,96,96,96,96,95,95,95,94,94
Middle East & North Africa,DZA,Algeria,DTP3,,91,91,91,91,95,95,95,95,95,95,95,93,95,95,88,86,87,86,89,86,83,85,89,88,88,87,88,88,89,89,87,85,79,73,69,,,,,
Western Europe,AND,Andorra,DTP3,99,99,99,99,98,97,97,96,99,99,99,99,99,96,93,98,99,99,97,96,98,90,89,90,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,DTP3,51,57,63,56,59,59,55,54,53,52,51,50,49,48,44,47,47,46,47,42,31,21,47,41,28,24,27,30,21,26,24,18,12,10,10,8,8,6,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,DTP3,96,95,95,95,92,99,99,99,98,99,98,99,99,99,99,99,97,99,98,97,95,99,99,99,99,99,99,99,99,94,99,99,98,97,96,99,94,99,79,79,54
Latin America & Caribbean,ARG,Argentina,DTP3,74,83,86,86,92,94,94,94,91,91,94,94,93,91,91,98,98,96,93,83,83,86,84,88,83,85,82,81,81,80,87,80,80,75,67,66,62,61,58,49,44
Eastern Europe & Central Asia,ARM,Armenia,DTP3,,92,92,94,94,94,93,95,95,95,94,93,89,88,87,90,91,94,94,94,93,91,82,88,86,98,86,85,85,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,DTP3,95,95,95,95,94,93,92,91,92,92,92,92,92,92,92,92,92,93,92,92,90,88,82,77,86,86,88,90,91,93,95,93,88,81,75,68,62,55,48,40,33
Western Europe,AUT,Austria,DTP3,85,85,85,90,87,93,98,95,92,89,86,83,83,85,83,86,83,84,83,84,81,74,82,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Eastern Europe & Central Asia,AZE,Azerbaijan,DTP3,79,94,95,95,97,96,94,93,89,87,81,81,81,79,78,75,77,77,76,77,76,75,73,70,74,74,69,66,58,,,,,,,,,,,,
Latin America & Caribbean,BHS,Bahamas,DTP3,,89,90,94,94,95,96,97,98,98,99,96,93,95,95,93,93,92,94,99,99,82,89,86,85,87,91,91,92,92,86,86,85,85,85,86,69,65,69,55,36
Middle East & North Africa,BHR,Bahrain,DTP3,98,99,99,97,99,98,98,99,99,99,99,98,97,97,98,98,98,97,98,99,97,97,98,98,96,95,96,94,94,99,94,96,96,95,92,90,86,83,79,75,72
