unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
South Asia,AFG,Afghanistan,HEPB3,70,72,72,66,66,64,62,64,67,68,66,63,64,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ALB,Albania,HEPB3,,99,99,99,98,99,98,99,99,99,99,98,99,98,98,98,99,97,96,96,96,96,94,97,96,88,99,,,,,,,,,,,,,,
Middle East & North Africa,DZA,Algeria,HEPB3,,91,91,91,91,95,95,95,95,95,95,94,91,90,80,83,81,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,AND,Andorra,HEPB3,98,98,98,98,94,94,95,94,96,99,96,96,97,91,84,79,77,81,84,84,84,75,80,75,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,AGO,Angola,HEPB3,47,53,59,52,55,55,55,54,52,50,49,47,45,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ATG,Antigua and Barbuda,HEPB3,95,99,95,95,92,99,99,99,98,99,98,98,98,97,99,99,97,99,99,96,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ARG,Argentina,HEPB3,74,83,86,86,92,94,94,94,91,91,94,94,90,85,84,88,81,73,66,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ARM,Armenia,HEPB3,,92,92,94,94,94,93,95,95,95,94,93,89,85,78,91,91,93,91,69,55,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,AUS,Australia,HEPB3,95,95,95,95,94,93,91,91,91,92,92,94,94,94,95,95,95,95,95,94,,,,,,,,,,,,,,,,,,,,,
Western Europe,AUT,Austria,HEPB3,85,85,85,90,87,93,98,95,92,89,86,83,83,85,83,86,83,83,81,44,33,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,AZE,Azerbaijan,HEPB3,79,94,95,95,97,96,94,93,88,84,80,74,68,62,52,49,50,51,50,,,,,,,,,,,,,,,,,,,,,,
